품명,가격,이미지 url
감자(1봉),3000,https://images.unsplash.com/photo-1518977676601-b53f82aba655?w=300
당근(1개),1500,https://images.unsplash.com/photo-1598170845058-32b9d6a5da37?w=300
양파(1망),2500,https://images.unsplash.com/photo-1508747703725-719777637510?w=300
카레용 소고기(300g),9000,https://images.unsplash.com/photo-1603048588665-791ca8aea617?w=300
카레 가루(1봉),2200,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=300
햇반(3개입),4500,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=300
모둠 쌈채소,3500,https://images.unsplash.com/photo-1540420773420-3366772f4999?w=300
캠핑용 소시지(1팩),5500,https://images.unsplash.com/photo-1585325701165-351af916e581?w=300
마시멜로,2000,https://images.unsplash.com/photo-1582293041079-7814c2f12063?w=300
생일 축하 케이크,22000,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=300
파티용 고깔모자 세트,4000,https://images.unsplash.com/photo-1530103862676-de8c9debad1d?w=300
음료수 세트(4캔),4000,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300
